comment,replies,date,user_name
"""Those who are enjoying the suffering of others should reflect and ask Allah to do the same with israel [that is not possible for allah]. However, this is a natural disaster, not an action of Allah, if He/She/It is truly God. You may  realize the harm in celebrating someone’s death is not good if u are truly religious . Supporting humanity is essential, and while supporting Gaza is commendable but celebrating death or suffering is not the way. Remember, Allah may be against you if you think like this. Pray to God to help all innocent people—whether they are from Gaza, usa or elsewhere. This lack of compassion is one of the reasons your community [Muslims]faces trust issues worldwide. We all share responsibility for this.""🙏",[],2025-01-16T10:34:05Z,@gauravayodhyi8970
You guys having curse Of Gaza innocents the way you support zoinists but today Gad revenge you,[],2025-01-16T06:06:25Z,@tourismandsportswithshujaa4370
This is so sad of the if the fire hydrant didn go   dry none of this wouldn't happen,[],2025-01-16T04:13:26Z,@Thepeopleschamp1983_
Allah is the super power,[],2025-01-16T03:54:33Z,@NaveedAhmed-hv8np
wheres the most powerfull army in the world? they cant beat a fire?,[],2025-01-15T23:40:14Z,@Mfuao
I feel sick that this is happening and they’re discussing and arguing for a Budget. Why is money even a subject. Save Lives!,[],2025-01-15T23:38:59Z,@TarmaraStockwin
Lol,[],2025-01-15T22:09:29Z,@RyanM-qy4fo
"Blame your president that threatened to burn the middle east and turn it to hell couple of days ago, its quite a sad thing on what happened in LA but those who did not care about GAZA has finally got the chance to at least experience something from the life in GAZA, whats happening there is not just a g#nocide,its a million times worse than this situation",[],2025-01-15T20:05:34Z,@The_Necro_mancer
Remember this is sign to change our thoughts and behavior before it to late..... Ameen,[],2025-01-15T19:41:32Z,@akirafukimura8342
You can enjoy various competitive beautiful moments with village people here,[],2025-01-15T17:14:45Z,@AbFoodChallenge-a
Call on The Name of JESUS to save your life and home ( Psalm 91 prayer of Protection  ).,[],2025-01-15T17:04:43Z,@MatthewFrasca-eq8mt
"Merci mon Dieu d'avoir montré ce très bel art, s'il vous plaît, donnez-leur pire que maintenant parce qu'ils le méritent vraiment.",[],2025-01-15T17:03:22Z,@districtsFFF
This look's like a apocalipse happend..,[],2025-01-15T16:49:58Z,@GamerBoy273Official
"Don't Be Proud Trump
Cause
You'll Never Can't Fight The Only One GOD & The Nature Power

So
JUST BE KIND PERSON",[],2025-01-15T16:14:56Z,@Marck-su35
Thankfully the fire has right to protect itself,[],2025-01-15T16:04:17Z,@YoriichiEvA
"The need of the hour is for the winds to stop and the area needs to have a good rainfall for few days to put out the fires. For winds to stop Hanuman chalisa chanting , as Lord Hanuman is son of wind god will help and for rains, a ritual called Varuna Japam to invoke the rain god will help. In Hinduism, the Hanuman Chalisa is believed to provide immense power against physical dangers, as it invokes Lord Hanuman, a deity known for his immense strength and courage, essentially offering protection and the ability to overcome obstacles, both physical and metaphorical, through devotion and recitation of the prayer; people often chant it to seek safety and resilience in the face of potential threats or challenges",[],2025-01-15T15:55:05Z,@jayaramabbaraju7489
praying for animals,[],2025-01-15T15:42:24Z,@Itsnotmeee1
"My name is Naim Ahmed, and I’m from Bangladesh. This is my first time commenting on CNN news. I just wanted to share my opinion. I’m deeply hurt by the situation in Los Angeles. I know there are many intelligent people working hard to control the fires. If it’s possible to create canals, I believe this could be an effective solution to prevent the fires.",[],2025-01-15T15:15:29Z,@splendidplacetraveller
You bombed the houses of innocent Palestinians and God set your houses on fire. Surely God is All-Knowing and All-Knowing.,[],2025-01-15T14:42:07Z,@KIDSSTUDIO-j5p
God sees everything,[],2025-01-15T14:39:50Z,@djiiiarilife
Newsom and Bass are totally worthless and incompetent. They both must resign immediately,[],2025-01-15T14:36:13Z,@bricksbyficks6448
"Sodom/Gomara now LA, ???",[],2025-01-15T14:22:38Z,@PallpallKanive-u7s
"Who is GOD🙏,",[],2025-01-15T14:21:13Z,@PallpallKanive-u7s
Read your holy BIBLE,[],2025-01-15T14:19:13Z,@PallpallKanive-u7s
"Instead of allocating a budget for fires, the American people send 100 billion dollars to Israel, aid the Gaza genocide, and don't the American people ask why their taxes are sent to Israel?",[],2025-01-15T13:41:00Z,@WelmaTV
Biden why are you vetoeing a ceasefire?,[],2025-01-15T12:50:54Z,@Adil1amin
Honestly just 2 weeks after New York game everything was exciting but now everything has gone to an end for this to happen again😢😢😢😢😭😭😭😭😭,[],2025-01-15T12:20:45Z,@GlendaLiu-i4f
Condolences to all the families affected by this natural disaster 🙏,[],2025-01-15T11:59:44Z,@bonn356
Why does America spend so little on defending itself and so much on attacking others? You appear to have an Offence Department not a Defence Department.,[],2025-01-15T11:38:29Z,@andrewjenkinson7052
May God protect you.,[],2025-01-15T11:20:09Z,@nasirahemed4923
Wait for more punishment from God...and ask Netanyahu for help,[],2025-01-15T11:14:02Z,@oumabdelwadoudloujaine6197
act of mother nature,[],2025-01-15T11:13:59Z,@benonp3622
Happy new year los Angeles from ghaza,[],2025-01-15T11:08:39Z,@ABDULLAHJAFFER-a
God can't be mocked,[],2025-01-15T11:07:45Z,@alphyzqrw7222
los angeles wildfire end,[],2025-01-15T11:06:56Z,@ShangTsungTehSpartan2001
May God protect them.,[],2025-01-15T11:03:12Z,@nasirahemed4923
"Where is Superman?😂
Where is Captain America?😂
Where is Iron Man?😂
The hell of the Middle East has come to Los Angeles",[],2025-01-15T10:58:32Z,@bakribaras5625
Perhaps not sent billions to a country that bombs civilians? Just a thought.,[],2025-01-15T10:57:06Z,@weremeusbeuning3870
Correct me if I'm wrong but who else feels that the CNN Writer/Editor that made the decision to report on the dark irony of a family loosing their daughter's ashes in this inferno ought to be on the Unemployment Line ASAP! Hello CNN!? What a dim-witted idea! Shameless!,[],2025-01-15T10:39:25Z,@ParadoxHouse-MichaelAngell
"one name : JESUS CHRIST… seek mercy, forgiveness & confess. He’s burning LA to the ground, it’s full of mockery, devil worshipping humans.",[],2025-01-15T10:18:19Z,@STARGLAZE-j3l
What goes around comes around,[],2025-01-15T09:26:03Z,@ibrahimkaradeniz27
Y'ALL NOT ALONE PALESTINIANS UNDERSTANDS YOUR PAIN,[],2025-01-15T08:23:12Z,@CurseBreaker-d9w
I guess the fire is set by China 😂😂😂😂😂😂,[],2025-01-15T08:21:25Z,@Wukong1964
Gaza❤,[],2025-01-15T08:09:21Z,@mohammedpambodan3894
